route_id,origin,destination,origin_lat,origin_lon,dest_lat,dest_lon,distance_km,vehicle_type,traffic_condition,effective_speed,travel_time_hrs,fuel_cost_inr,num_packages,priority,delivery_success,vehicle_enc,traffic_enc,priority_enc,dest_enc,cost_per_km,time_per_km,pkg_per_km,efficiency_score
RTE-0286,Warehouse,Ahmedabad,20.5937,78.9629,23.0225,72.5714,712.86,Van,Medium,56.0,12.73,16930.42,5,Medium,1,2,2,2,0,23.75,0.0179,0.007,0.0
RTE-0287,Warehouse,Chennai,20.5937,78.9629,13.0827,80.2707,846.68,Van,Medium,56.0,15.12,20108.65,18,Medium,1,2,2,2,3,23.75,0.0179,0.0213,0.0001
RTE-0288,Warehouse,Coimbatore,20.5937,78.9629,11.0168,76.9558,1086.28,Truck,Low,60.0,18.1,36118.81,12,High,1,1,1,0,4,33.25,0.0167,0.011,0.0
RTE-0289,Warehouse,Vadodara,20.5937,78.9629,22.3072,73.1812,627.9,Truck,Medium,48.0,13.08,20877.68,3,Medium,1,1,2,2,17,33.25,0.0208,0.0048,0.0
RTE-0290,Warehouse,Surat,20.5937,78.9629,21.1702,72.8311,640.22,Truck,Medium,48.0,13.34,21287.32,2,Low,1,1,2,1,16,33.25,0.0208,0.0031,0.0
RTE-0291,Warehouse,Coimbatore,20.5937,78.9629,11.0168,76.9558,1086.28,Van,Medium,56.0,19.4,25799.15,7,Medium,0,2,2,2,4,23.75,0.0179,0.0064,0.0
RTE-0292,Warehouse,Bhopal,20.5937,78.9629,23.2599,77.4126,336.84,Truck,Medium,48.0,7.02,11199.93,10,High,1,1,2,0,2,33.25,0.0208,0.0297,0.0001
RTE-0293,Warehouse,Chennai,20.5937,78.9629,13.0827,80.2707,846.68,Truck,High,36.0,23.52,28152.11,3,Medium,1,1,0,2,3,33.25,0.0278,0.0035,0.0
RTE-0294,Warehouse,Hyderabad,20.5937,78.9629,17.385,78.4867,360.29,Truck,Low,60.0,6.0,11979.64,17,High,1,1,1,0,6,33.25,0.0167,0.0472,0.0002
RTE-0295,Warehouse,Nagpur,20.5937,78.9629,21.1458,79.0882,62.76,Truck,Medium,48.0,1.31,2086.77,6,Medium,1,1,2,2,13,33.25,0.0209,0.0956,0.0022
RTE-0296,Warehouse,Nagpur,20.5937,78.9629,21.1458,79.0882,62.76,Truck,Medium,48.0,1.31,2086.77,6,Low,1,1,2,1,13,33.25,0.0209,0.0956,0.0022
RTE-0297,Warehouse,Hyderabad,20.5937,78.9629,17.385,78.4867,360.29,Van,Medium,56.0,6.43,8556.89,20,Low,1,2,2,1,6,23.75,0.0178,0.0555,0.0004
RTE-0298,Warehouse,Chennai,20.5937,78.9629,13.0827,80.2707,846.68,Bike,Medium,32.0,26.46,8043.46,15,Low,1,0,2,1,3,9.5,0.0313,0.0177,0.0001
RTE-0299,Warehouse,Patna,20.5937,78.9629,25.5941,85.1376,841.18,Truck,Medium,48.0,17.52,27969.23,8,Medium,1,1,2,2,14,33.25,0.0208,0.0095,0.0
RTE-0300,Warehouse,Indore,20.5937,78.9629,22.7196,75.8577,398.55,Truck,High,36.0,11.07,13251.79,22,High,1,1,0,0,7,33.25,0.0278,0.0552,0.0001
